Week of Order Date ,Running Revenue
"December 31, 2023",836.44
"January 7, 2024","1,428.2"
"January 14, 2024","2,115.02"
"January 21, 2024","2,820.47"
"January 28, 2024","3,254.02"
"February 4, 2024","3,618"
"February 11, 2024","4,164.25"
"February 18, 2024","4,487.19"
"February 25, 2024","5,359.84"
"March 3, 2024","6,349.71"
"March 10, 2024","7,146.64"
"March 17, 2024","7,327.35"
"March 24, 2024","8,011.38"
"March 31, 2024","8,792.42"
"April 7, 2024","9,060.37"
"April 14, 2024","9,792.03"
"April 21, 2024","11,237.64"
"April 28, 2024","12,124"
"May 5, 2024","12,722.45"
"May 12, 2024","13,399.24"
"May 19, 2024","13,496.45"
"May 26, 2024","13,828.61"
"June 2, 2024","14,604.58"
"June 9, 2024","15,485.82"
"June 16, 2024","16,535.84"
"June 23, 2024","17,084.61"
"June 30, 2024","18,403.2"
"July 7, 2024","18,476.69"
"July 14, 2024","19,201.41"
"July 21, 2024","19,753.51"
"July 28, 2024","20,598.93"
"August 4, 2024","20,938.87"
"August 11, 2024","21,488.87"
"August 18, 2024","21,930.86"
"August 25, 2024","23,080.53"
"September 1, 2024","24,840.68"
"September 8, 2024","25,606.19"
"September 15, 2024","27,228.48"
"September 22, 2024","27,619.67"
"September 29, 2024","28,641.9"
"October 6, 2024","30,240.27"
"October 13, 2024","30,640.07"
"October 20, 2024","31,665.53"
"October 27, 2024","32,148.84"
"November 3, 2024","32,462.74"
"November 10, 2024","33,136.44"
"November 17, 2024","34,242.87"
"November 24, 2024","35,300.69"
"December 1, 2024","35,370.67"
"December 8, 2024","36,264.95"
"December 15, 2024","36,737.29"
"December 22, 2024","37,166.93"
"December 29, 2024","38,041.09"
"January 5, 2025","39,086.57"
"January 12, 2025","39,426.81"
"January 19, 2025","40,364.23"
"January 26, 2025","40,891.55"
"February 2, 2025","42,399.14"
"February 9, 2025","42,925.78"
"February 16, 2025","44,261.47"
"February 23, 2025","44,431.34"
"March 2, 2025","44,695.01"
"March 9, 2025","45,505.73"
"March 16, 2025","45,902.68"
"March 23, 2025","46,801.12"
"March 30, 2025","47,789.68"
"April 6, 2025","48,040.38"
"April 13, 2025","49,285.35"
"April 20, 2025","49,703.29"
"April 27, 2025","50,230.73"
"May 4, 2025","50,411.23"
"May 11, 2025","51,227.01"
"May 18, 2025","53,091.14"
"May 25, 2025","53,969.57"
"June 1, 2025","54,363.01"
"June 8, 2025","55,484.38"
"June 15, 2025","56,338.34"
"June 22, 2025","57,325.4"
"June 29, 2025","57,720.87"
"July 6, 2025","58,233.86"
"July 13, 2025","58,951.96"
"July 20, 2025","59,720.49"
"July 27, 2025","60,722.29"
"August 3, 2025","61,255.54"
"August 10, 2025","61,949.18"
"August 17, 2025","62,575.32"
"August 24, 2025","63,464.19"
"August 31, 2025","64,357.99"
"September 7, 2025","65,359.97"
"September 14, 2025","66,214.96"
"September 21, 2025","66,738.67"
"September 28, 2025","67,127.59"
"October 5, 2025","67,833.84"
"October 12, 2025","68,153.2"
"October 19, 2025","68,554.32"
"October 26, 2025","68,739.08"
"November 2, 2025","70,311.67"
"November 9, 2025","70,837.15"
"November 16, 2025","72,664.59"
"November 23, 2025","73,759.68"
"November 30, 2025","74,563.54"
"December 7, 2025","74,677.52"
"December 14, 2025","75,049.18"
"December 21, 2025","75,937.08"
"December 28, 2025","76,855.98"
"January 4, 2026","77,147.24"
"January 11, 2026","77,331.48"
"January 18, 2026","77,695.65"
"January 25, 2026","78,404.94"
"February 1, 2026","78,712.17"
"February 8, 2026","80,350.49"
"February 15, 2026","81,048.34"
"February 22, 2026","81,714.35"
"March 1, 2026","82,211.13"
"March 8, 2026","82,902.25"
"March 15, 2026","84,253.12"
"March 22, 2026","84,615.34"
"March 29, 2026","85,394.61"
"April 5, 2026","85,564.79"
"April 12, 2026","86,171.31"
"April 19, 2026","86,777.65"
"April 26, 2026","88,358.41"
"May 3, 2026","92,937.42"
"May 10, 2026","97,111.33"
"May 17, 2026","101,360.01"
"May 24, 2026","103,915.61"
"May 31, 2026","109,217"
"June 7, 2026","111,368.14"
